Run,CL(35),CL(37),Br(79),S32(HR)
10ClBr_Run1,209942.34,75757,962.91,35586.33
100ClBr_Run1,222074.23,80226.3,10396.41,37435.15
1000ClBr_Run1,277251,99955.15,109166.78,38804.14
NH4F2_Blk1,59815.34,-459968.8,2288.41,662.39
NH4F2_Blk2,17702.01,-474804.73,1036.83,83.87
NH4F2_Blk3,107428.57,-442717.37,2644.89,235.69
NH4F2_Blk4,35112.46,-468607.35,1823.41,342.98
100ClBr_Run2,208350.22,74939.94,9782.52,35082.91
JWL_1.1,30672.55,7595.27,1388.27,414641.15
JWL_1.2,28156.31,6584.81,2356.44,544373.93
JWL_1.3,32755.4,8006.97,1025.11,456822.81
JWL_2,8077.85,-1064.85,1226.05,179086.8
JWL_3,32539.02,7484.62,1189.52,135185.26
100ClBr_Run3,117756.27,-1068906.55,7667.37,23151.23
JWL_4,6805.88,-315839.94,917.78,113221.14
JWL_5,2982.79,-317245.31,1362.2,45107.11
JWL_6.1,3779.49,-316998.55,530.45,220555.78
JWL_6.2,9735.77,-315102.89,369.64,137330.4
JWL_6.3,2595.44,-317413.16,418.14,115295.84
10ClBr_Run2,30589.4,4941.97,257.42,7183.86
100ClBr_Run4,30551.53,4880.85,2814.09,7230.74
1000ClBr_Run2,36987.7,7122.71,27501.79,7103.4
JWL_7.1,9216.85,-143384.33,399,65152.93
JWL_7.2,11256.01,-142589.77,389.89,50298.13
JWL_7.3,6023.62,-144598.74,329.3,45037.34
JWL_8,2087.45,-145824.21,119.39,40610.37
JWL_9,3684.15,-145210.21,114.97,34987.12
100ClBr_Run5,12724.18,3099.37,1059.67,2724.84
JWL_11,1383.44,-50244.46,73.02,26248
JWL_12,1640.66,-50161.69,1077.77,18610.96
JWL_BCR2,1269.78,-50279.46,14,4544.71
JWL_BHVO2,582,-50582.8,7.97,4214.4
10ClBr_Run3,2131.34,-19115.63,14.72,405.6
100ClBr_Run6,2144.34,-19147.02,157.8,436.65
1000ClBr_Run3,2617.56,1034.17,1726.5,489.36
