,Concentration,Line 1,Calc. concentration,Stat. error,LLD,Overlaps,Line 2,Calc. concentration,Stat. error,LLD,Overlaps,Total CSE
CaO,27.7%,Ca KA1-HR-Tr,27.72,0.118%,164.0 PPM,0.06937,Ca KB1-HR-Tr,17.29,0.33%,290.1 PPM,0.00252,51.4 PPM
SiO2,19.4%,Si KA1-HR-Tr,19.37,0.212%,68.4 PPM,0.0,Si KB1-HR-Tr/Ox,22.5,1.46%,0.30%,0,279 PPM
Al2O3,4.61%,Al KA1-HR-Tr,4.614,0.434%,69.9 PPM,0.0,Al KB1-HR-Tr/Ox,4.3,12.80%,0.49%,0,148 PPM
MgO,3.29%,Mg KA1-HR-Tr,3.29,0.443%,140.1 PPM,0.00100,,,,,,115 PPM
Fe2O3,2.82%,Fe KA1-HR-Tr,2.824,0.187%,73.8 PPM,0.0,Fe KB1-HR-Tr,1.549,0.46%,142.8 PPM,0.04398,9.83 PPM
K2O,1.26%,K  KA1-HR-Tr,1.256,0.506%,24.5 PPM,0.0,K  KB1-HR-Tr,0.776,1.56%,255.3 PPM,0,38.4 PPM
TiO2,0.379%,Ti KA1-HR-Tr,0.379,1.28%,51.2 PPM,0.0,Ti KB1-HR-Tr,0.257,4.25%,391.1 PPM,0,34.1 PPM
MnO,774 PPM,Mn KA1-HR-Tr,0.0774,1.40%,21.8 PPM,0.00669,Mn KB1-HR-Tr,0.031,4.29%,250.2 PPM,0.9201,7.32 PPM
Na2O,526 PPM,Na KA1-HR-Tr,0.053,8.48%,199.6 PPM,0.01458,,,,,,39.7 PPM
P2O5,475 PPM,P  KA1-HR-Tr,0.0475,4.57%,42.6 PPM,0.00116,,,,,,14.7 PPM
Sr,369 PPM,Sr KA1-HR-Tr,0.0369,0.648%,6.2 PPM,0.0,Sr KB1-HR-Tr,0.0015,1.31%,69.2 PPM,16.63,1.81 PPM
SO3,331 PPM,S  KA1-HR-Tr,0.0331,4.65%,30.5 PPM,0.00105,,,,,,9.33 PPM
Er,208 PPM,Er LA1-HR-Tr,0.021,7.28%,36.6 PPM,0.00000,Er LB1-HR-Tr,0.004,19.50%,59.4 PPM,0.00275,7.53 PPM
Zr,178 PPM,Zr KA1-HR-Tr,0.0178,1.31%,10.1 PPM,9.024,Zr KB1-HR-Tr,0.0574,4.86%,36.6 PPM,0,1.34 PPM
Cr,112 PPM,Cr KA1-HR-Tr,0.0112,5.86%,19.4 PPM,0.0,Cr KB1-HR-Tr,0.001,152%,160.4 PPM,0.06999,4.39 PPM
Zn,64.7 PPM,Zn KA1-HR-Tr,0.0065,4.32%,9.1 PPM,0.0,Zn KB1-HR-Tr,0.002,79.90%,58.2 PPM,0,1.92 PPM
Ni,63.2 PPM,Ni KA1-HR-Tr,0.0063,5.83%,11.8 PPM,0.0,Ni KB1-HR-Tr,0.004,29.20%,79.4 PPM,0.02145,2.46 PPM
Cu,61.0 PPM,Cu KA1-HR-Tr,0.0061,5.24%,10.5 PPM,0.0,Cu KB1-HR-Tr,0.007,33.90%,62.0 PPM,0,2.18 PPM
Rb,59.0 PPM,Rb KA1-HR-Tr,0.0059,2.96%,7.3 PPM,0.1685,Rb KB1-HR-Tr,0.004,7.29%,35.7 PPM,0,1.35 PPM
As,11.2 PPM,As KA1-HR-Tr,0.001,18.1%,7.7 PPM,0.0,As KB1-HR-Tr,0,,43.6 PPM,0,1.47 PPM
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
