,Concentration,Line 1,Calc. concentration,Stat. error,LLD,Overlaps,Line 2,Calc. concentration,Stat. error,LLD,Overlaps,Total CSE
SiO2,57.1%,Si KA1-HR-Tr,57.05,0.118%,189.1 PPM,0.00614,Si KB1-HR-Tr/Ox,32.5,2.29%,0.73%,0.43820,206 PPM
Al2O3,2.14%,Al KA1-HR-Tr,2.14,0.602%,59.4 PPM,0.0,Al KB1-HR-Tr/Ox,2.7,17.00%,0.47%,0.0,92.6 PPM
K2O,1.92%,K  KA1-HR-Tr,1.921,0.440%,22.9 PPM,0.0,K  KB1-HR-Tr,1.22,1.33%,181.1 PPM,0.0,56.4 PPM
W,687 PPM,W  LA1-HR-Tr,0.0687,2.32%,15.1 PPM,0.00123,W  LB1-HR-Tr,0.0799,2.92%,21.0 PPM,0.0,3.42 PPM
Ba,664 PPM,Ba LA1-HR-Tr,0.0664,5.25%,66.6 PPM,0.01275,Ba LB1-HR-Tr,0.032,6.48%,116.7 PPM,0.01938,15.6 PPM
Na2O,616 PPM,Na KA1-HR-Tr,0.062,6.51%,133.8 PPM,0.00089,,,,,,33.9 PPM
TiO2,613 PPM,Ti KA1-HR-Tr,0.0613,2.84%,31.7 PPM,0.00537,Ti KB1-HR-Tr,0.032,8.06%,372.9 PPM,0.21330,10.6 PPM
Fe2O3,390 PPM,Fe KA1-HR-Tr,0.039,1.51%,12.7 PPM,0.01211,Fe KB1-HR-Tr,0.011,8.84%,74.1 PPM,0.00124,3.58 PPM
P2O5,300 PPM,P  KA1-HR-Tr,0.03,6.88%,57.5 PPM,0.00283,,,,,,15.7 PPM
Pb,290 PPM,Pb LB1-HR-Tr,0.029,5.42%,10.9 PPM,0.0,Pb LA1-HR-Tr,0.0244,5.44%,10.6 PPM,0.0,2.16 PPM
Sr,154 PPM,Sr KA1-HR-Tr,0.0154,2.30%,3.3 PPM,0.0,Sr KB1-HR-Tr,-0.0152,1.92%,34.1 PPM,14.84000,0.687 PPM
Rb,139 PPM,Rb KA1-HR-Tr,0.0139,2.39%,3.8 PPM,0.19780,Rb KB1-HR-Tr,0.015,10.70%,21.6 PPM,0.31500,0.723 PPM
CaO,121 PPM,Ca KA1-HR-Tr,0.012,6.77%,41.6 PPM,0.09233,Ca KB1-HR-Tr,0.012,83.10%,236.6 PPM,0.00357,6.75 PPM
SO3,80.3 PPM,S  KA1-HR-Tr,0.008,14.3%,40.7 PPM,0.00376,,,,,,8.17 PPM
Zr,70.7 PPM,Zr KA1-HR-Tr,0.0071,1.92%,5.2 PPM,8.88200,Zr KB1-HR-Tr,0.0784,3.53%,20.6 PPM,0.0,0.672 PPM
Cu,40.5 PPM,Cu KA1-HR-Tr,0.0041,4.51%,5.7 PPM,0.0,Cu KB1-HR-Tr,0.003,13.30%,33.3 PPM,0.0,1.18 PPM
Co,14.0 PPM,Co KA1-HR-Tr,0.001,13.9%,7.4 PPM,0.03448,Co KB1-HR-Tr,0,650.00%,43.3 PPM,0.00245,1.29 PPM
Ni,11.8 PPM,Ni KA1-HR-Tr,0.001,16.7%,6.7 PPM,0.00356,Ni KB1-HR-Tr,-0.001,,46.9 PPM,0.15260,1.24 PPM
